№,Тема,Подтема,Вопрос,Ответ,Тип ответа,Рейтинг неожиданности факта (1-3),Сложность вопроса,Жанр,Распределение дат,AI
1312,Игры,Warcraft,"В каком году вышла игра ""World of Warcraft""?",2004,дата,1,2,MMORPG,Современность,0
1313,Интернет,Wi-Fi,В каком году был утвержден первый стандарт Wi-Fi (802.11)?,1997,дата,1,3,технологии,XX век,0
1314,Еда,Грибы,Сколько известных видов съедобных грибов существует?,тысячи,количество,1,3,микология,,1
1315,Транспорт,Поезда,Какая страна имеет самую длинную сеть высокоскоростных железных дорог?,Китай,страна,1,2,,,1
1316,Музыка,Джаз,"Сколько импровизационных хорусов обычно играет солист в стандартном джазовом стандарте?",варьируется,количество,1,3,джаз,,1
1317,Кино,Гарри Поттер,"Сколько факультетов в Хогвартсе?",4,количество,1,1,фэнтези,,0
1318,Сериалы,Карточный домик,"Сколько сезонов в американской версии ""Карточного домика""?",6,количество,1,2,политическая драма,,0
1319,Наука,Экология,Сколько примерно видов животных вымирает каждый год (оценка ООН)?,тысячи,количество,2,3,биология,,1
1320,Спорт,Олимпиады,Сколько раз Лондон принимал летние Олимпийские игры?,3,количество,1,2,,,0
1321,География,Азия,Сколько стран входит в состав АСЕАН (Ассоциация государств Юго-Восточной Азии)?",10,количество,2,3,политика,,0
1322,История,Ренессанс,В каком году родился Микеланджело?,1475,дата,1,3,искусство,Наша эра,0
1323,Космос,Марс,"Сколько известных спутников у Марса (Фобос и Деймос)?",2,количество,1,1,астрономия,,0
1324,Животные,Сумчатые,Сколько видов кенгуру существует?,около 4,количество,1,2,биология,,1
1325,Игры,DOOM,"Сколько уровней в оригинальной игре DOOM (1993) - включая эпизод ""Thy Flesh Consumed""?",36,количество,1,3,FPS,,0
1326,Интернет,Мессенджеры,"Сколько активных пользователей у WhatsApp (оценка 2024)? (в млрд)",более 2,количество,1,1,,,1
1327,Еда,Орехи,Сколько калорий в 100 граммах грецких орехов?,около 654,количество,1,2,диетология,,1
1328,Транспорт,Мотоциклы,Сколько цилиндров у большинства мотоциклов Harley-Davidson?,2,количество,1,1,,,0
1329,Музыка,Queen,"В каком году вышел знаменитый сингл Queen ""Bohemian Rhapsody""?",1975,дата,1,1,рок,XX век,0
1330,Кино,Дисней,В каком году вышел первый полнометражный анимационный фильм Уолта Диснея "Белоснежка и семь гномов"?,1937,дата,1,2,анимация,XX век,0
1331,Сериалы,Клиника,Сколько основных персонажей-интернов в первом сезоне "Клиники"?,3,количество,1,1,ситком,,0
1332,Наука,Зоология,Сколько видов пауков известно науке?,более 50000,количество,1,3,биология,,1
1333,Спорт,Сноуборд,"Сколько основных дисциплин сноубординга включено в программу Зимних Олимпийских игр?",5-6,количество,1,3,сноуборд,,1
1334,География,Вулканы,Какова высота вулкана Везувий? (в метрах),1281,высота,1,2,геология,,0
1335,История,Музыка,"В каком веке жил композитор Антонио Вивальди?",17-18,дата,1,3,классика,Наша эра,0
1336,Космос,NASA,Сколько женщин побывало в космосе (на начало 2024)?",около 70+,количество,1,2,,,1
1337,Животные,Млекопитающие,"Сколько молока может выпить детеныш синего кита за день? (в литрах)",до 200,количество,2,3,биология,,1
1338,Игры,Mortal Kombat,Сколько персонажей в ростере Mortal Kombat (1992)?,7,количество,1,1,файтинг,,0
1339,Интернет,Социальные медиа,Сколько максимально символов разрешено в одном твите на X (Twitter) для обычных пользователей?",280,количество,1,1,,,0
1340,Еда,Десерты,"Сколько белков нужно для стандартного рецепта безе на 4 белка?",4,количество,1,2,кулинария,,0
1341,Транспорт,Автопроизводители,"В каком году была основана компания Ferrari?",1947,дата,1,3,автомобили,XX век,0
1342,Музыка,Поп,В каком году Мадонна выпустила свой дебютный альбом?,1983,дата,1,2,поп,XX век,0
1343,Кино,Научная фантастика,"В каком году вышел фильм ""Терминатор 2: Судный день""?",1991,дата,1,1,фантастика,XX век,0
1344,Сериалы,Корона,Сколько сезонов в сериале "Корона" на Netflix?,6,количество,1,2,историческая драма,,0
1345,Наука,Скорость звука,"Во сколько раз скорость звука в стали больше, чем в воздухе (приблизительно)?",около 15-17,количество,2,3,физика,,1
1346,Спорт,Плавание,Сколько метров составляет самая короткая дистанция в олимпийском плавании (вольный стиль)?",50,длина,1,2,плавание,,0
1347,География,Путешествия,Сколько стран пересекает река Дунай?,10,количество,2,2,,,0
1348,История,Викинги,Сколько веков длилась Эпоха викингов?,около 3,время,1,3,,Наша эра,1
1349,Космос,Гагарин,"Сколько минут длился первый полет Юрия Гагарина?",108,время,1,1,космонавтика,XX век,0
1350,Животные,Динозавры,Сколько миллионов лет назад вымерли динозавры (кроме птиц)? (в млн лет),66,время,1,1,палеонтология,,0
1351,Игры,Стратегии,"В каком году вышла игра ""Dune II"", считающаяся родоначальницей RTS?",1992,дата,2,3,RTS,XX век,0
1352,Интернет,История,Сколько лет потребовалось Интернету, чтобы достичь 50 миллионов пользователей?",4,время,2,2,технологии,,0
1353,Еда,Суши,Сколько основных видов суши существует (нигири, маки, сашими и т.д.)?",несколько,количество,1,1,кулинария,,1
1354,Транспорт,История,В каком году было завершено строительство Панамского канала?,1914,дата,1,3,инженерия,XX век,0
1355,Музыка,Хип-Хоп,"В каком году Тупак Шакур выпустил альбом ""All Eyez on Me""?",1996,дата,1,3,хип-хоп,XX век,0
1356,Кино,Квентин Тарантино,"Сколько главных сюжетных линий пересекаются в ""Криминальном чтиве""?",3,количество,2,2,криминал,,0
1357,Сериалы,Очень странные дела,"В каком году происходят события первого сезона ""Очень странных дел""?",1983,дата,1,2,фантастика,XX век,0
1358,Наука,Астрофизика,"Сколько, по оценкам, может быть планет только в нашей галактике Млечный Путь? (в миллиардах)",100+,количество,2,2,астрономия,,1
1359,Спорт,НБА,Сколько команд в Национальной баскетбольной ассоциации (NBA)?",30,количество,1,2,баскетбол,,0
1360,География,Канада,Сколько провинций в Канаде?,10,количество,1,3,,,0
1361,История,XXI век,В каком году произошли теракты 11 сентября в США?,2001,дата,1,1,,Современность,0
1362,Космос,Роскосмос,"В каком году был выведен на орбиту первый модуль станции ""Мир""?",1986,дата,2,3,космонавтика,XX век,0
1363,Животные,Кошачьи,Сколько подвидов леопарда существует?,8-9,количество,2,3,биология,,0
1364,Игры,Cyberpunk 2077,Сколько основных банд контролируют Найт-Сити в Cyberpunk 2077?,около 7,количество,1,3,RPG,,1
1365,Интернет,Электронная коммерция,Сколько заказов обрабатывает Amazon в секунду (в среднем)?",сотни,количество,2,3,бизнес,,1
1366,Еда,Италия,Сколько лет насчитывает история лазаньи?,сотни лет,время,1,2,кулинария,,1
1367,Транспорт,Метрополитен,"В каком году открылся метрополитен в Санкт-Петербурге?",1955,дата,1,3,,XX век,0
1368,Музыка,Клавишные,Сколько октав на стандартном 88-клавишном фортепиано?,7 (+3 клавиши),количество,1,2,музыка,,1
1369,Кино,Фэнтези,Сколько волшебников входит в Истари во "Властелине колец"?,5,количество,1,2,фэнтези,,0
1370,Сериалы,Звездный путь,"В каком году вышла серия ""The Trouble with Tribbles"" оригинального Star Trek?",1967,дата,2,3,научная фантастика,XX век,0
1371,Наука,Свет,"Сколько километров свет проходит в вакууме за одну секунду (округленно)?",300000,скорость,1,1,физика,,0
1372,Спорт,Бодибилдинг,Сколько раз Арнольд Шварценеггер выигрывал титул "Мистер Олимпия"?,7,количество,1,1,бодибилдинг,,0
1373,География,Европа,Сколько стран не имеют выхода к морю в Европе?,14,количество,2,3,,,0
1374,История,Великобритания,Сколько лет правила королева Виктория?,63,время,1,3,,XIX век,0
1375,Космос,Луноходы,"Сколько луноходов успешно работали на Луне до 2024 года?",менее 10,количество,2,3,,,1
1376,Животные,Панды,Сколько пальцев (включая "ложный палец") на передней лапе у большой панды?,6,количество,3,2,биология,,0
1377,Игры,Tetris,"Сколько очков дается за ""Тетрис"" (одновременное очищение 4 линий) на первом уровне сложности?",800-1200 (зависит от версии),количество,2,3,головоломка,,1
1378,Интернет,Блогинг,В каком году появился термин "блог" (weblog)?",1997,дата,1,3,,,0
1379,Еда,Чай,"Какая температура воды (в °C) оптимальна для заваривания зеленого чая?",75-85,температура,1,2,,,0
1380,Транспорт,Дирижабли,"Какова была длина дирижабля ""Гинденбург"" (в метрах)?",245,длина,2,3,история,,0
1381,Музыка,Группы,В каком году была основана группа Metallica?,1981,дата,1,1,метал,XX век,0
1382,Кино,Супергероика,Сколько актеров играли Бэтмена в полнометражных фильмах (основных)?,около 8-9,количество,1,1,,,1
1383,Сериалы,Клан Сопрано,"Сколько сезонов в сериале ""Клан Сопрано""?",6,количество,1,1,криминальная драма,,0
1384,Наука,Нобелевская премия,Сколько раз Мария Кюри получала Нобелевскую премию?,2,количество,1,1,наука,,0
1385,Спорт,Хоккей,Сколько периодов в хоккейном матче?,3,количество,1,1,хоккей,,0
1386,География,Каналы,Какова длина Суэцкого канала (в км)?",193,длина,1,2,география,,0
1387,История,Древний Египет,Сколько больших пирамид находится на плато Гиза?,3,количество,1,1,,,0
1388,Космос,Кометы,"В каком году комета Шумейкеров-Леви 9 столкнулась с Юпитером?",1994,дата,2,3,астрономия,XX век,0
1389,Животные,Колибри,Сколько видов колибри существует?,около 360,количество,1,2,орнитология,,1
1390,Игры,Пошаговые стратегии,Сколько цивилизаций доступно в Civilization VI (с дополнениями)?",около 50+,количество,1,2,Strategy,,1
1391,Интернет,Соцсети,"Сколько активных пользователей у TikTok (оценка 2024)? (в млрд)",более 1.5,количество,1,1,,,1
1392,Еда,Сыр,Какова жирность сыра Пармезан (Пармиджано-Реджано)? (в %)",30-40,проценты,1,3,кулинария,,0
1393,Транспорт,Подлодки,Какова максимальная глубина погружения большинства современных военных атомных подводных лодок? (в метрах)",300-600+,глубина,2,3,,,1
1394,Музыка,Инди,"В каком году вышел дебютный альбом группы The Strokes ""Is This It""?",2001,дата,1,2,инди-рок,Современность,0
1395,Кино,Боевики,"В каком году вышел фильм ""Джон Уик""?",2014,дата,1,1,боевик,Современность,0
1396,Сериалы,Черное зеркало,"Сколько сезонов ""Черного зеркала"" было выпущено Netflix (на начало 2025)?",6,количество,1,2,фантастика,,0
1397,Наука,Электричество,Каково стандартное напряжение в бытовой электросети в США? (в вольтах),120,напряжение,1,2,,,0
1398,Спорт,Регби,Сколько очков дается за попытку (try) в регби-юнион?",5,количество,1,2,регби,,0
1399,География,Горы,"К какой горной системе относится гора Монблан?",Альпы,горная система,1,3,,,1
1400,История,XXI век,В каком году был введен Евро как единая валюта во многих странах ЕС?,2002,дата,1,2,,Современность,0
1401,Космос,Луна,"Сколько времени занимает один оборот Луны вокруг Земли (сидерический месяц)? (в сутках)",27.3,время,1,2,астрономия,,0
1402,Животные,Приматы,Сколько видов лемуров существует (приблизительно)?",более 100,количество,1,3,биология,,1
1403,Игры,The Sims,"Сколько потребностей (нужд) у симов в The Sims 4?",8,количество,1,2,симулятор жизни,,0
1404,Интернет,Видео,Сколько кадров в секунду считается стандартом для кино?",24,частота,1,3,технологии,,0
1405,Еда,Мороженое,Какая страна считается родиной мороженого (предшественников)?",Китай или Древний Рим,страна,2,3,,,1
1406,Транспорт,Водный,Сколько гребцов в стандартной академической восьмерке (лодка)?",8,количество,2,3,гребля,,0
1407,Музыка,Рок,"В каком году умер Курт Кобейн?",1994,дата,1,1,рок,XX век,0
1408,Кино,Анимация Pixar,Сколько основных игрушек принадлежит Энди в первом мультфильме "История игрушек"?",несколько,количество,1,2,анимация,,1
1409,Сериалы,Как избежать наказания за убийство,"Сколько основных студентов (""Пятерка Китинг"") было изначально?",5,количество,1,1,юридическая драма,,0
1410,Наука,Время,Сколько секунд в одном годе (не високосном)?",31536000,количество,1,3,физика,,0
1411,Спорт,Боевые искусства,Сколько данов (черных поясов) высшего ранга в дзюдо?,10,количество,2,3,дзюдо,,0
1412,География,Канада,Какова площадь Канады? (в млн км²)",9.98,площадь,1,2,,,0
1413,История,Великобритания,"Сколько жен было у короля Генриха VIII?",6,количество,1,1,,Наша эра,0
1414,Космос,Скорость света,"За сколько секунд свет проходит расстояние от Земли до Луны (примерно)?",1.3,время,1,2,астрономия,,0
1415,Животные,Крупные кошки,Какова длина тела взрослого снежного барса (без хвоста)? (в см)",100-130,длина,1,3,биология,,0
1416,Игры,Gears of War,Сколько номерных игр в основной серии Gears of War?,5,количество,1,2,шутер,,0
1417,Интернет,Киберспорт,В каком году был проведен первый турнир The International по Dota 2?,2011,дата,1,3,киберспорт,Современность,0
1418,Еда,Алкоголь,Какова крепость стандартной водки? (в % ABV)",40,проценты,1,1,,,0
1419,Транспорт,Велосипеды,"В каком году впервые была проведена велогонка ""Тур де Франс""?",1903,дата,1,3,велоспорт,XX век,0
1420,Музыка,Поп-панк,В каком году группа Blink-182 выпустила альбом "Enema of the State"?,1999,дата,1,2,панк-рок,XX век,0
1421,Кино,Стэнли Кубрик,В каком году вышел фильм "Заводной апельсин"?,1971,дата,1,3,драма,XX век,0
1422,Сериалы,Карточный домик,"В каком году начался американский сериал ""Карточный домик""?",2013,дата,1,2,политическая драма,Современность,0
1423,Наука,Земля,"Сколько процентов земной поверхности занимают пустыни?",около 33,проценты,2,2,география,,1
1424,Спорт,Гимнастика,"Сколько снарядов в мужском многоборье в спортивной гимнастике?",6,количество,1,3,гимнастика,,0
1425,География,Китай,Какова длина реки Янцзы? (в км)",6300,длина,1,2,,,0
1426,История,Средневековье,"В каком году Жанна д'Арк была сожжена на костре?",1431,дата,1,2,,Наша эра,0
1427,Космос,Астероиды,Сколько астероидов было каталогизировано в Солнечной системе (оценка)? (в млн)",более 1,количество,1,3,астрономия,,1
1428,Животные,Рептилии,"Сколько видов хамелеонов известно науке?",около 200,количество,1,3,биология,,1
1429,Игры,Street Fighter II,Сколько оригинальных играбельных персонажей было в Street Fighter II: The World Warrior?",8,количество,1,2,файтинг,,0
1430,Интернет,Социальные сети,"Сколько максимально друзей может быть у пользователя на Facebook?",5000,количество,1,3,,,0
1431,Еда,Супы,"Сколько основных ингредиентов в классическом рецепте борща (не считая специй и зелени)?",5-8,количество,1,2,кулинария,,0
1432,Транспорт,Мореплавание,Сколько мачт у самого большого парусника в мире ("Golden Horizon")?",5,количество,2,3,корабли,,0
1433,Музыка,Фестивали,"Сколько дней длится фестиваль Coachella?",6 (2 уикенда по 3 дня),время,1,2,,,0
1434,Кино,Индия,"Какое среднее количество фильмов производит Болливуд в год?",1500-2000,количество,2,3,,,1
1435,Сериалы,Игра Престолов,Сколько Королевств входит в Семь Королевств Вестероса?,7,количество,1,1,фэнтези,,0
1436,Наука,Акустика,"Сколько децибел (дБ) составляет порог болевого ощущения для человеческого уха?",120-130,количество,1,3,физика,,0
1437,Спорт,Марафон,Сколько составляет текущий мировой рекорд для женщин в марафоне (на начало 2025)? (часы:минуты:секунды)",2:11:53,время,1,2,легкая атлетика,,0
1438,География,Водоемы,Какова площадь Каспийского моря (в км²)? (в тыс.)",371,площадь,1,3,,,0
1439,История,Франция,"В каком году Наполеон был окончательно разбит в битве при Ватерлоо?",1815,дата,1,2,,XIX век,0
1440,Космос,Температура,Какова средняя температура реликтового излучения во Вселенной? (в Кельвинах)",2.7,температура,3,3,астрофизика,,0
1441,Животные,Сон,Сколько в среднем часов спит лев в сутки?,18-20,время,1,3,биология,,0
1442,Игры,Final Fantasy,"Сколько игр в основной (номерной) серии Final Fantasy (на 2024)?",16,количество,1,1,RPG,,0
1443,Интернет,Подкасты,Сколько (приблизительно) активных подкастов существует в мире (на 2024)? (в млн)",более 2,количество,2,3,,,1
1444,Еда,Рекорды,"Каков вес самой большой тыквы в мире (рекорд)? (в кг)",более 1200,масса,2,3,,,1
1445,Транспорт,Скутеры,Какова максимальная скорость стандартного электрического самоката для проката? (в км/ч)",20-25,скорость,1,2,,,0
1446,Музыка,Хэви-метал,В каком году была основана группа Iron Maiden?,1975,дата,1,3,метал,XX век,0
1447,Кино,Вестерны,"В каком году вышел фильм ""Хороший, плохой, злой""?",1966,дата,1,2,вестерн,XX век,0
1448,Сериалы,Западный мир,Сколько парков развлечений показано в сериале "Западный мир"?",несколько,количество,1,2,фантастика,,1
1449,Наука,Воздух,Сколько процентов кислорода в воздухе Земли (приблизительно)? (в %)",21,проценты,1,1,химия,,0
1450,Спорт,Борьба,Сколько весовых категорий в греко-римской борьбе на Олимпийских играх?",6,количество,1,3,борьба,,0
1451,География,Россия,Сколько федеральных округов в России?",8,количество,1,2,география,,0
1452,История,Книгопечатание,В каком году Иван Федоров напечатал первую точно датированную русскую книгу "Апостол"?",1564,дата,2,3,,Наша эра,0
1453,Космос,Большой Взрыв,"Сколько лет прошло с момента Большого Взрыва (оценка)? (в млрд лет)",13.8,время,1,2,астрофизика,,0
1454,Животные,Медведи,Сколько видов медведей существует в мире?",8,количество,1,1,биология,,0
1455,Игры,Nintendo Switch,В каком году была выпущена Nintendo Switch?",2017,дата,1,1,консоль,Современность,0
1456,Интернет,Данные,"Сколько, по оценкам, данных генерируется в мире каждый день? (в зеттабайтах)",сотни,количество,3,3,,,1
1457,Еда,Кулинарные шоу,"В каком году вышло первое телешоу Джулии Чайлд ""The French Chef""?",1963,дата,2,3,кулинария,XX век,0
1458,Транспорт,Поезда,"Какая максимальная скорость у японских поездов Синкансэн?",320,скорость,1,2,,,0
1459,Музыка,Классика,Сколько концертов для скрипки написал Антонио Вивальди?",более 200,количество,1,3,классика,,1
1460,Кино,Акира Куросава,В каком году вышел фильм "Семь самураев"?,1954,дата,1,2,историческая драма,XX век,0
1461,Сериалы,Шерлок,Сколько основных дел расследуют Шерлок и Ватсон в первом сезоне сериала BBC?,3,количество,1,2,детектив,,0
1462,Наука,Растения,Сколько семядолей у двудольных растений?,2,количество,1,1,ботаника,,0
1463,Спорт,Биатлон,"Сколько огневых рубежей в индивидуальной гонке в биатлоне?",4,количество,1,2,биатлон,,0
1464,География,Реки,Сколько основных рукавов в дельте Волги?,сотни (более 500),количество,2,3,,,1
1465,История,Россия,"В каком году правил Иван Грозный (начало - год коронации как царя)?",1547,дата,1,2,,Наша эра,0
1466,Космос,Планеты,"Сколько времени свету нужно, чтобы дойти от Земли до Марса в ближайшей точке?",около 3,время,2,3,астрономия,,1
1467,Животные,Змеи,Сколько сердечных камер у большинства змей?,3,количество,2,2,биология,,0
1468,Игры,Elden Ring,В каком году вышла игра Elden Ring?,2022,дата,1,1,Action/RPG,Современность,0
1469,Интернет,Стриминг,Сколько одновременных зрителей собрал испаноязычный стример Ibai на пике (рекорд Twitch на 2024)? (в млн),3.4+,количество,1,3,,,1
1470,Еда,Италия,"Сколько ингредиентов в классической пицце ""Маргарита"" (основных: тесто, томаты, моцарелла, базилик, масло)?",5,количество,1,1,кулинария,,0
1471,Транспорт,История,"В каком году Карл Бенц представил публике свой первый автомобиль?",1886,дата,1,1,,XIX век,0
1472,Музыка,The Doors,Сколько студийных альбомов выпустила группа The Doors с Джимом Моррисоном?,6,количество,1,2,рок,XX век,0
1473,Кино,Форрест Гамп,"Сколько лет Форрест Гамп пробежал через Америку?",3,время,2,3,драма,XX век,0
1474,Сериалы,Симпсоны,Сколько членов основной семьи Симпсонов?,5,количество,1,1,анимация,,0
1475,Наука,Генетика,Сколько пар оснований в геноме человека (приблизительно)? (в млрд)",3.2,количество,2,3,биология,,0
1476,Спорт,Волейбол,Сколько касаний мяча разрешено команде в волейболе для возврата мяча на сторону противника?",3,количество,1,1,волейбол,,0
1477,География,Бразилия,Сколько штатов в Бразилии?,26 (+1 федеральный округ),количество,1,3,,,1
1478,История,Рим,Сколько царей правило Римом до установления Республики?,7,количество,2,3,,Древние времена,0
1479,Космос,Сатурн,"Сколько основных колец у Сатурна (обозначаемых буквами)?",7,количество,1,2,астрономия,,0
1480,Животные,Лошади,Сколько лет в среднем живут лошади?,25-30,время,1,2,биология,,0
1481,Игры,Grand Theft Auto III,В каком году вышла игра GTA III?,2001,дата,1,3,Action-adventure,Современность,0
1482,Интернет,Браузеры,Сколько процентов рынка браузеров занимает Google Chrome (оценка 2024)? (в %)",около 65,проценты,1,1,технологии,,1
1483,Еда,Национальные блюда,Сколько граммов риса примерно идет на одну порцию суши нигири?,15-20,количество,1,3,кулинария,,0
1484,Транспорт,Контейнеры,Какова стандартная длина морского контейнера? (в футах)",20 или 40,длина,1,3,,,1
1485,Музыка,Майкл Джексон,"В каком году Майкл Джексон выпустил альбом ""Thriller""?",1982,дата,1,1,поп,XX век,0
1486,Кино,Назад в будущее,"Какой год Марти МакФлай посещает в будущем во втором фильме?",2015,дата,1,1,фантастика,Современность,0
1487,Сериалы,LOST,"Каково финальное число в последовательности чисел, постоянно появляющейся в LOST (4 8 15 16 23 ...)?",42,число,1,3,фантастика,,0
1488,Наука,Химия,"Каков атомный номер золота (Au)?",79,номер,1,2,,,0
1489,Спорт,Теннис,Сколько сетов максимально может быть сыграно в мужском одиночном матче на турнирах Большого шлема?,5,количество,1,2,теннис,,0
1490,География,Водопады,"Какой водопад является самым широким в мире (Кхон)? (в км)",около 10.8,ширина,2,3,,,1
1491,История,Реформация,В каком году Мартин Лютер прибил свои 95 тезисов?,1517,дата,1,3,,Наша эра,0
1492,Космос,НАСА,В каком году НАСА было основано?,1958,дата,1,2,космонавтика,XX век,0
1493,Животные,Моллюски,"Сколько щупалец у кальмара (включая два ловчих)?",10,количество,1,2,биология,,0
1494,Игры,Мобильные,Сколько загрузок у игры Subway Surfers (оценка)? (в млрд)",более 4,количество,1,3,runner,,1
1495,Интернет,Шрифты,Сколько глифов (символов) может содержать один файл шрифта OpenType?",65535,количество,2,3,типографика,,0
1496,Еда,Паста,"Сколько примерно видов пасты существует?",более 350,количество,1,3,кулинария,,1
1497,Транспорт,Велоспорт,Сколько команд участвует в велогонке Тур де Франс?,22,количество,1,2,велоспорт,,0
1498,Музыка,Метал,"В каком году Оззи Осборн был уволен из Black Sabbath (первый раз)?",1979,дата,2,3,метал,XX век,0
1499,Кино,Режиссура,Сколько Оскаров за лучшую режиссуру у Стивена Спилберга?,2,количество,1,2,кино,,0
1500,Сериалы,Побег,"Сколько сезонов в сериале ""Побег""?",5,количество,1,1,боевик,,0
1501,Наука,Единицы СИ,Сколько основных единиц в Международной системе единиц (СИ)?",7,количество,1,2,физика,,0
1502,Спорт,Шашки,Сколько клеток на стандартной доске для международных шашек?",100,количество,1,2,,,0
1503,География,Китай,"Сколько часовых поясов официально используется в Китае?",1,количество,2,1,,,0
1504,История,Греция,Сколько длились древние Олимпийские игры?",5 дней,время,1,3,,Древние времена,1
1505,Космос,Карликовые планеты,Сколько официально признанных карликовых планет в Солнечной системе?",5,количество,1,2,астрономия,,0
1506,Животные,Верблюды,Сколько горбов у верблюда-дромадера?,1,количество,1,1,биология,,0
1507,Игры,CD Projekt Red,В каком году была основана компания CD Projekt (материнская компания CDPR)?",1994,дата,1,3,,,0
1508,Интернет,Emoji,"В каком году Консорциум Юникода стандартизировал первые эмодзи?",2010,дата,2,3,,,0
1509,Еда,Молоко,Сколько процентов жира в цельном коровьем молоке (обычно)? (в %)",3.25-4,проценты,1,2,,,0
1510,Транспорт,Судоходство,Сколько канатов обычно используется для швартовки крупного судна?",6-12,количество,1,3,,,0
1511,Музыка,Инструменты,Сколько отверстий (для пальцев) у стандартной блок-флейты сопрано?",8,количество,1,2,музыка,,0
1512,Кино,IMDb,"Какую оценку имеет фильм ""Побег из Шоушенка"" на IMDb (на начало 2025)?",9.3,рейтинг,1,1,драма,,0
1513,Сериалы,Футурама,"В каком году Фрай был заморожен в криогенной камере?",1999,дата,1,2,анимация,XX век,0
1514,Наука,Давление,Каково нормальное атмосферное давление на уровне моря? (в паскалях)",101325,давление,1,3,физика,,0
1515,Спорт,Футбол,Сколько минут составляет перерыв между таймами в футбольном матче?",15,время,1,1,футбол,,0
1516,География,Моря,Какое море является самым большим по площади?,Филиппинское море,название,2,3,,,1
1517,История,Войны,"Сколько лет длилась Война Алой и Белой розы?",30,время,1,3,,Наша эра,0
1518,Космос,Астронавты,"Сколько человек максимум может находиться на борту МКС одновременно (рекорд)?",13,количество,2,2,космонавтика,,0
1519,Животные,Олени,Сколько в среднем живет Северный олень?,15-18,время,1,3,биология,,0
1520,Игры,Fall Guys,Сколько игроков стартует в одном матче Fall Guys?,40-60,количество,1,1,Battle Royale,,0
1521,Интернет,Языки программирования,В каком году был создан JavaScript?",1995,дата,1,2,веб-разработка,XX век,0
1522,Еда,Фастфуд,Сколько калорий в стандартной порции картофеля фри из McDonald's?",300-400,количество,1,2,,,0
1523,Транспорт,Метро,Сколько линий в метрополитене Нью-Йорка?",25+,количество,1,2,,,1
1524,Музыка,Электроника,В каком году дуэт Daft Punk объявил о своем распаде?,2021,дата,1,1,электроника,Современность,0
1525,Кино,Джеймс Бонд,"Какой актер сыграл Джеймса Бонда в наибольшем количестве фильмов Eon?",Роджер Мур,актер,1,2,,,1
1526,Сериалы,Stranger Things,"Сколько эпизодов было снято для сериала ""Очень странные дела"" (на конец 2024, 4 сезона)?",34,количество,1,2,фантастика,,0
1527,Наука,Вес,"Сколько грамм в одном килограмме?",1000,количество,1,0,,,0
1528,Спорт,Легкая атлетика,Сколько метров в беге с барьерами (мужчины, Олимпийские игры)?",110 и 400,количество,1,3,легкая атлетика,,0
1529,География,Острова,Сколько островов в Греции (оценка)?",1200-6000,количество,2,3,,,0
1530,История,Россия,"Сколько лет продолжалось правление Екатерины II Великой?",34,время,1,3,,Наша эра,0
1531,Космос,Телескопы,В каком году был запущен космический телескоп "Джеймс Уэбб"?,2021,дата,1,1,астрономия,Современность,0
1532,Животные,Лоси,Каков размах рогов взрослого лося? (в метрах)",до 1.8,длина,2,2,биология,,1
1533,Игры,Red Dead Redemption,В каком году вышла первая игра Red Dead Redemption?,2010,дата,1,3,Action-adventure,Современность,0
1534,Интернет,Доменные имена,Сколько символов может максимально содержать доменное имя (каждая часть между точками)?",63,количество,2,3,технологии,,0
1535,Еда,Суши,"Сколько обычно кусочков (роллов) в стандартной порции ролла ""Филадельфия""?",6-8,количество,1,2,кулинария,,0
1536,Транспорт,Авто,Сколько лошадиных сил у автомобиля Lada Vesta (стандартный двигатель 1.6 л)?",106,мощность,1,3,автомобили,,0
1537,Музыка,Рок,Сколько лет было Джими Хендриксу, когда он умер?,27,возраст,1,1,рок,XX век,0
1538,Кино,Пираты Карибского моря,"В каком фильме ""Пиратов Карибского моря"" впервые появился Дейви Джонс?",Пираты Карибского моря: Сундук мертвеца,фильм,1,2,приключения,,1
1539,Сериалы,The Boys,Сколько основных членов команды "Пацаны" (The Boys) в первом сезоне?,5,количество,1,2,супергероика,,0
1540,Наука,Биология,Сколько пар хромосом у шимпанзе?,24,количество,2,3,биология,,0
1541,Спорт,Фигурное катание,Сколько оборотов в тройном акселе?,3.5,количество,1,3,фигурное катание,,0
1542,География,Франция,"Сколько заморских регионов у Франции?",5,количество,2,3,,,0
1543,История,Америка,Сколько колоний подписали Декларацию независимости США?,13,количество,1,1,,Наша эра,0
1544,Космос,Экзопланеты,Сколько земных лет длится год на ближайшей к нам экзопланете Проксима Центавра b?",11.2,время,2,2,астрономия,,0
1545,Животные,Овцы,Сколько желудочных отделов у овцы?,4,количество,2,2,биология,,0
1546,Игры,Super Mario,Какой персонаж является главным антагонистом в большинстве игр про Марио?,Боузер,персонаж,1,1,платформер,,1
1547,Интернет,Стриминг видео,В каком году Netflix начал предоставлять услуги потокового видео?",2007,дата,1,2,технологии,Современность,0
1548,Еда,Выпечка,Какова типичная температура выпечки пиццы в дровяной печи? (в °C)",430-480,температура,2,3,кулинария,,0
1549,Транспорт,Общественный,Сколько этажей в стандартном лондонском двухэтажном автобусе?",2,количество,1,1,,,0
